,geometry
190,POINT (74.4869 33.2101)
191,POINT (74.6942 33.0857)
192,POINT (75.2172 33.6795)
193,POINT (74.2582 34.5211)
194,POINT (74.473 34.1712)
195,POINT (75.15 32.8412)
196,POINT (75.0661 33.8244)
197,POINT (74.5644 34.0609)
198,POINT (75.3732 33.6243)
199,POINT (74.701 34.018)
200,POINT (74.6664 32.8662)
201,POINT (75.5936 33.4898)
202,POINT (74.4272 33.433)
203,POINT (74.1862 34.5231)
204,POINT (75.0818 33.7186)
205,POINT (74.6312 34.4391)
206,POINT (75.4781 32.53)
207,POINT (75.173 34.5273)
208,POINT (74.5745 33.3017)
209,POINT (75.2041 33.3925)
210,POINT (74.226 34.4138)
211,POINT (75.0047 33.7754)
212,POINT (74.6657 34.1745)
213,POINT (74.8417 33.3489)
214,POINT (75.6503 32.5754)
215,POINT (74.8793 33.0488)
216,POINT (74.9702 33.94)
217,POINT (75.3557 32.6283)
218,POINT (74.9631 33.9154)
219,POINT (74.2885 33.6949)
220,POINT (74.1796 34.1315)
221,POINT (74.5201 33.3581)
222,POINT (75.9143 33.0332)
223,POINT (74.4588 34.3483)
224,POINT (74.7937 33.8088)
225,POINT (74.3463 34.312)
226,POINT (75.1618 33.6801)
227,POINT (74.7243 33.9575)
228,POINT (74.4352 34.1709)
229,POINT (74.9705 33.9721)
230,POINT (75.3067 32.8753)
231,POINT (75.3817 33.5165)
232,POINT (75.0806 33.6903)
233,POINT (75.7064 33.6508)
234,POINT (75.8848 33.3489)
235,POINT (74.2995 34.4141)
236,POINT (75.201 33.7532)
237,POINT (75.2225 33.5749)
238,POINT (74.8262 34.6345)
239,POINT (75.7264 32.714)
240,POINT (74.9251 33.6134)
241,POINT (74.9808 33.5673)
242,POINT (74.5782 34.0766)
243,POINT (75.3438 33.756)
244,POINT (74.3552 34.4065)
245,POINT (75.1278 33.8025)
246,POINT (74.8943 33.8715)
247,POINT (75.6019 32.7058)
248,POINT (74.3179 34.3901)
249,POINT (74.6249 34.2946)
250,POINT (75.0518 33.6368)
251,POINT (74.0888 34.5231)
252,POINT (75.0697 33.2274)
253,POINT (74.5858 34.1682)
254,POINT (74.7473 34.1359)
255,POINT (74.2557 33.4735)
256,POINT (74.2583 34.5211)
257,POINT (74.6961 34.0734)
258,POINT (74.7676 34.1336)
259,POINT (74.2536 33.7933)
260,POINT (74.6182 34.4359)
261,POINT (74.9008 33.6763)
262,POINT (73.8577 34.3937)
263,POINT (74.6969 34.2098)
264,POINT (74.6855 34.1128)
265,POINT (74.0937 34.152)
266,POINT (74.7447 33.7735)
267,POINT (74.5202 33.3586)
268,POINT (75.797 32.7733)
269,POINT (74.8413 33.6531)
270,POINT (74.8774 33.3557)
271,POINT (74.7872 33.8908)
272,POINT (75.2384 33.6459)
273,POINT (75.2388 33.6078)
274,POINT (74.6121 34.1279)
275,POINT (74.6828 33.0933)
276,POINT (74.6899 33.9796)
277,POINT (75.0725 33.8893)
278,POINT (75.483 32.6257)
279,POINT (75.8137 34.429)
280,POINT (75.6962 32.7336)
281,POINT (75.2159 33.8051)
282,POINT (75.1051 33.9128)
283,POINT (74.8324 33.2586)
284,POINT (74.9402 33.2801)
285,POINT (74.6692 33.9981)
286,POINT (74.3037 33.2883)
287,POINT (75.2947 33.5908)
288,POINT (75.2534 33.8239)
289,POINT (74.8507 32.9124)
290,POINT (74.2487 33.5413)
291,POINT (74.2485 33.671)
292,POINT (75.1372 33.728)
293,POINT (74.0946 34.4841)
294,POINT (74.1954 33.563)
295,POINT (74.3084 34.1482)
296,POINT (74.4625 34.335)
297,POINT (74.291 33.4603)
298,POINT (74.2444 33.6772)
299,POINT (75.3296 33.4954)
300,POINT (74.7888 33.926)
301,POINT (74.7935 33.8088)
302,POINT (74.5201 34.062)
303,POINT (74.7266 34.2027)
304,POINT (74.676 34.0091)
305,POINT (74.3715 34.2785)
306,POINT (75.9385 33.1387)
307,POINT (75.8337 33.4771)
308,POINT (74.6381 33.9862)
